shift_date,section,product,planned_units,cycle_time_seconds,shift_type,shift_start,shift_end
2022-01-08,Montage C,C,40,110,Spät,14:00,22:00
2022-01-08,Montage A,A,111,120,Nacht,22:00,06:00
2022-01-08,Vorfertigung,Alle,640,10,Spät,14:00,22:00
2022-01-08,Montage B,B,279,100,Nacht,22:00,06:00
2022-01-09,Montage A,A,277,120,Nacht,22:00,06:00
2022-01-09,Montage C,C,18,110,Früh,06:00,14:00
2022-01-09,Vorfertigung,Alle,440,10,Nacht,22:00,06:00
2022-01-09,Montage B,B,345,100,Früh,06:00,14:00
2022-01-10,Montage C,C,25,110,Nacht,22:00,06:00
2022-01-10,Montage A,A,346,120,Nacht,22:00,06:00
2022-01-10,Montage B,B,69,100,Früh,06:00,14:00
2022-01-10,Vorfertigung,Alle,440,10,Früh,06:00,14:00
2022-01-11,Vorfertigung,Alle,590,10,Nacht,22:00,06:00
2022-01-11,Montage B,B,185,100,Spät,14:00,22:00
2022-01-11,Montage C,C,91,110,Früh,06:00,14:00
2022-01-11,Montage A,A,164,120,Spät,14:00,22:00
2022-01-12,Montage C,C,420,110,Spät,14:00,22:00
2022-01-12,Montage B,B,37,100,Spät,14:00,22:00
2022-01-12,Montage A,A,133,120,Früh,06:00,14:00
2022-01-12,Vorfertigung,Alle,160,10,Spät,14:00,22:00
2022-01-13,Montage A,A,67,120,Früh,06:00,14:00
2022-01-13,Montage B,B,15,100,Spät,14:00,22:00
2022-01-13,Montage C,C,78,110,Nacht,22:00,06:00
2022-01-13,Vorfertigung,Alle,200,10,Nacht,22:00,06:00
2022-01-14,Montage B,B,176,100,Früh,06:00,14:00
2022-01-14,Montage C,C,22,110,Nacht,22:00,06:00
2022-01-14,Vorfertigung,Alle,440,10,Nacht,22:00,06:00
2022-01-14,Montage A,A,2,120,Spät,14:00,22:00
2022-01-15,Vorfertigung,Alle,350,10,Früh,06:00,14:00
2022-01-15,Montage B,B,75,100,Spät,14:00,22:00
2022-01-15,Montage A,A,218,120,Spät,14:00,22:00
2022-01-15,Montage C,C,147,110,Spät,14:00,22:00
2022-01-16,Vorfertigung,Alle,620,10,Spät,14:00,22:00
2022-01-16,Montage A,A,62,120,Spät,14:00,22:00
2022-01-16,Montage B,B,16,100,Spät,14:00,22:00
2022-01-16,Montage C,C,272,110,Spät,14:00,22:00
2022-01-17,Montage B,B,266,100,Früh,06:00,14:00
2022-01-17,Vorfertigung,Alle,380,10,Nacht,22:00,06:00
2022-01-17,Montage A,A,141,120,Spät,14:00,22:00
2022-01-17,Montage C,C,213,110,Spät,14:00,22:00
2022-01-18,Montage C,C,10,110,Spät,14:00,22:00
2022-01-18,Vorfertigung,Alle,280,10,Spät,14:00,22:00
2022-01-18,Montage B,B,273,100,Spät,14:00,22:00
2022-01-18,Montage A,A,97,120,Spät,14:00,22:00
2022-01-19,Montage B,B,20,100,Nacht,22:00,06:00
2022-01-19,Montage A,A,93,120,Nacht,22:00,06:00
2022-01-19,Vorfertigung,Alle,860,10,Spät,14:00,22:00
2022-01-19,Montage C,C,167,110,Nacht,22:00,06:00
2022-01-20,Montage C,C,590,110,Früh,06:00,14:00
2022-01-20,Montage B,B,106,100,Spät,14:00,22:00
2022-01-20,Montage A,A,164,120,Früh,06:00,14:00
2022-01-20,Vorfertigung,Alle,530,10,Früh,06:00,14:00
2022-01-21,Montage B,B,113,100,Spät,14:00,22:00
2022-01-21,Montage C,C,267,110,Nacht,22:00,06:00
2022-01-21,Vorfertigung,Alle,590,10,Früh,06:00,14:00
2022-01-21,Montage A,A,150,120,Spät,14:00,22:00
2022-01-22,Montage A,A,48,120,Früh,06:00,14:00
2022-01-22,Montage B,B,517,100,Früh,06:00,14:00
2022-01-22,Montage C,C,25,110,Früh,06:00,14:00
2022-01-22,Vorfertigung,Alle,290,10,Früh,06:00,14:00
2022-01-23,Vorfertigung,Alle,470,10,Nacht,22:00,06:00
2022-01-23,Montage A,A,208,120,Früh,06:00,14:00
2022-01-23,Montage B,B,71,100,Früh,06:00,14:00
2022-01-23,Montage C,C,11,110,Früh,06:00,14:00
2022-01-24,Montage A,A,1,120,Nacht,22:00,06:00
2022-01-24,Montage C,C,197,110,Früh,06:00,14:00
2022-01-24,Vorfertigung,Alle,610,10,Früh,06:00,14:00
2022-01-24,Montage B,B,272,100,Nacht,22:00,06:00
2022-01-25,Montage C,C,16,110,Nacht,22:00,06:00
2022-01-25,Montage B,B,315,100,Nacht,22:00,06:00
2022-01-25,Montage A,A,279,120,Früh,06:00,14:00
2022-01-25,Vorfertigung,Alle,360,10,Nacht,22:00,06:00
2022-01-26,Montage A,A,63,120,Nacht,22:00,06:00
2022-01-26,Montage B,B,17,100,Früh,06:00,14:00
2022-01-26,Vorfertigung,Alle,670,10,Nacht,22:00,06:00
2022-01-26,Montage C,C,280,110,Früh,06:00,14:00
2022-01-27,Vorfertigung,Alle,480,10,Spät,14:00,22:00
2022-01-27,Montage A,A,454,120,Nacht,22:00,06:00
2022-01-27,Montage B,B,186,100,Spät,14:00,22:00
2022-01-27,Montage C,C,30,110,Früh,06:00,14:00
2022-01-28,Montage A,A,86,120,Nacht,22:00,06:00
2022-01-28,Vorfertigung,Alle,540,10,Früh,06:00,14:00
2022-01-28,Montage B,B,91,100,Spät,14:00,22:00
2022-01-28,Montage C,C,303,110,Früh,06:00,14:00
2022-01-29,Vorfertigung,Alle,480,10,Nacht,22:00,06:00
2022-01-29,Montage A,A,143,120,Nacht,22:00,06:00
2022-01-29,Montage C,C,90,110,Spät,14:00,22:00
2022-01-29,Montage B,B,307,100,Früh,06:00,14:00
2022-01-30,Montage B,B,214,100,Nacht,22:00,06:00
2022-01-30,Vorfertigung,Alle,980,10,Spät,14:00,22:00
2022-01-30,Montage C,C,245,110,Nacht,22:00,06:00
2022-01-30,Montage A,A,21,120,Nacht,22:00,06:00
2022-01-31,Montage C,C,224,110,Früh,06:00,14:00
2022-01-31,Montage A,A,271,120,Nacht,22:00,06:00
2022-01-31,Montage B,B,485,100,Früh,06:00,14:00
2022-01-31,Vorfertigung,Alle,610,10,Nacht,22:00,06:00
2022-02-01,Montage A,A,341,120,Spät,14:00,22:00
2022-02-01,Vorfertigung,Alle,400,10,Nacht,22:00,06:00
2022-02-01,Montage B,B,257,100,Früh,06:00,14:00
2022-02-01,Montage C,C,12,110,Früh,06:00,14:00
2022-02-02,Vorfertigung,Alle,780,10,Spät,14:00,22:00
2022-02-02,Montage C,C,350,110,Nacht,22:00,06:00
2022-02-02,Montage B,B,11,100,Nacht,22:00,06:00
2022-02-02,Montage A,A,39,120,Spät,14:00,22:00
2022-02-03,Vorfertigung,Alle,380,10,Nacht,22:00,06:00
2022-02-03,Montage C,C,535,110,Nacht,22:00,06:00
2022-02-03,Montage B,B,160,100,Früh,06:00,14:00
2022-02-03,Montage A,A,85,120,Nacht,22:00,06:00
2022-02-04,Vorfertigung,Alle,670,10,Nacht,22:00,06:00
2022-02-04,Montage B,B,90,100,Spät,14:00,22:00
2022-02-04,Montage A,A,49,120,Spät,14:00,22:00
2022-02-04,Montage C,C,241,110,Früh,06:00,14:00
2022-02-05,Montage A,A,255,120,Nacht,22:00,06:00
2022-02-05,Montage C,C,336,110,Nacht,22:00,06:00
2022-02-05,Vorfertigung,Alle,240,10,Nacht,22:00,06:00
2022-02-05,Montage B,B,79,100,Früh,06:00,14:00
2022-02-06,Vorfertigung,Alle,370,10,Früh,06:00,14:00
2022-02-06,Montage A,A,10,120,Spät,14:00,22:00
2022-02-06,Montage C,C,88,110,Früh,06:00,14:00
2022-02-06,Montage B,B,142,100,Nacht,22:00,06:00
2022-02-07,Montage B,B,162,100,Nacht,22:00,06:00
2022-02-07,Montage A,A,79,120,Früh,06:00,14:00
2022-02-07,Vorfertigung,Alle,670,10,Nacht,22:00,06:00
2022-02-07,Montage C,C,129,110,Nacht,22:00,06:00
2022-02-08,Montage B,B,465,100,Früh,06:00,14:00
2022-02-08,Montage C,C,162,110,Früh,06:00,14:00
2022-02-08,Montage A,A,43,120,Nacht,22:00,06:00
2022-02-08,Vorfertigung,Alle,790,10,Nacht,22:00,06:00
2022-02-09,Montage C,C,70,110,Nacht,22:00,06:00
2022-02-09,Vorfertigung,Alle,680,10,Spät,14:00,22:00
2022-02-09,Montage B,B,417,100,Spät,14:00,22:00
2022-02-09,Montage A,A,303,120,Spät,14:00,22:00
2022-02-10,Montage C,C,406,110,Früh,06:00,14:00
2022-02-10,Montage A,A,85,120,Spät,14:00,22:00
2022-02-10,Montage B,B,189,100,Früh,06:00,14:00
2022-02-10,Vorfertigung,Alle,620,10,Früh,06:00,14:00
2022-02-11,Montage C,C,1,110,Spät,14:00,22:00
2022-02-11,Montage A,A,287,120,Spät,14:00,22:00
2022-02-11,Montage B,B,332,100,Spät,14:00,22:00
2022-02-11,Vorfertigung,Alle,590,10,Nacht,22:00,06:00
2022-02-12,Montage A,A,280,120,Spät,14:00,22:00
2022-02-12,Montage B,B,212,100,Nacht,22:00,06:00
2022-02-12,Montage C,C,98,110,Früh,06:00,14:00
2022-02-12,Vorfertigung,Alle,360,10,Nacht,22:00,06:00
2022-02-13,Montage B,B,44,100,Spät,14:00,22:00
2022-02-13,Montage A,A,13,120,Früh,06:00,14:00
2022-02-13,Vorfertigung,Alle,510,10,Früh,06:00,14:00
2022-02-13,Montage C,C,303,110,Früh,06:00,14:00
2022-02-14,Montage B,B,160,100,Nacht,22:00,06:00
2022-02-14,Montage A,A,85,120,Spät,14:00,22:00
2022-02-14,Vorfertigung,Alle,570,10,Früh,06:00,14:00
2022-02-14,Montage C,C,265,110,Früh,06:00,14:00
2022-02-15,Montage A,A,35,120,Früh,06:00,14:00
2022-02-15,Montage B,B,279,100,Nacht,22:00,06:00
2022-02-15,Montage C,C,256,110,Nacht,22:00,06:00
2022-02-15,Vorfertigung,Alle,880,10,Spät,14:00,22:00
2022-02-16,Montage A,A,191,120,Nacht,22:00,06:00
2022-02-16,Vorfertigung,Alle,740,10,Früh,06:00,14:00
2022-02-16,Montage C,C,236,110,Spät,14:00,22:00
2022-02-16,Montage B,B,453,100,Früh,06:00,14:00
2022-02-17,Montage B,B,21,100,Früh,06:00,14:00
2022-02-17,Montage A,A,189,120,Nacht,22:00,06:00
2022-02-17,Vorfertigung,Alle,320,10,Spät,14:00,22:00
2022-02-17,Montage C,C,530,110,Nacht,22:00,06:00
2022-02-18,Vorfertigung,Alle,740,10,Nacht,22:00,06:00
2022-02-18,Montage C,C,97,110,Spät,14:00,22:00
2022-02-18,Montage B,B,16,100,Früh,06:00,14:00
2022-02-18,Montage A,A,207,120,Früh,06:00,14:00
2022-02-19,Montage A,A,627,120,Spät,14:00,22:00
2022-02-19,Montage B,B,72,100,Früh,06:00,14:00
2022-02-19,Vorfertigung,Alle,600,10,Spät,14:00,22:00
2022-02-19,Montage C,C,41,110,Spät,14:00,22:00
2022-02-20,Montage C,C,32,110,Nacht,22:00,06:00
2022-02-20,Montage B,B,490,100,Spät,14:00,22:00
2022-02-20,Vorfertigung,Alle,550,10,Nacht,22:00,06:00
2022-02-20,Montage A,A,78,120,Früh,06:00,14:00
2022-02-21,Montage C,C,53,110,Früh,06:00,14:00
2022-02-21,Montage B,B,280,100,Früh,06:00,14:00
2022-02-21,Vorfertigung,Alle,810,10,Früh,06:00,14:00
2022-02-21,Montage A,A,217,120,Nacht,22:00,06:00
2022-02-22,Vorfertigung,Alle,900,10,Früh,06:00,14:00
2022-02-22,Montage C,C,293,110,Spät,14:00,22:00
2022-02-22,Montage B,B,134,100,Spät,14:00,22:00
2022-02-22,Montage A,A,383,120,Spät,14:00,22:00
2022-02-23,Montage A,A,484,120,Nacht,22:00,06:00
2022-02-23,Vorfertigung,Alle,880,10,Früh,06:00,14:00
2022-02-23,Montage C,C,46,110,Früh,06:00,14:00
2022-02-23,Montage B,B,370,100,Früh,06:00,14:00
2022-02-24,Vorfertigung,Alle,530,10,Nacht,22:00,06:00
2022-02-24,Montage C,C,76,110,Spät,14:00,22:00
2022-02-24,Montage A,A,662,120,Spät,14:00,22:00
2022-02-24,Montage B,B,142,100,Früh,06:00,14:00
2022-02-25,Montage B,B,229,100,Spät,14:00,22:00
2022-02-25,Montage A,A,11,120,Spät,14:00,22:00
2022-02-25,Vorfertigung,Alle,640,10,Nacht,22:00,06:00
2022-02-25,Montage C,C,290,110,Nacht,22:00,06:00
2022-02-26,Montage A,A,11,120,Nacht,22:00,06:00
2022-02-26,Montage B,B,463,100,Nacht,22:00,06:00
2022-02-26,Montage C,C,166,110,Früh,06:00,14:00
2022-02-26,Vorfertigung,Alle,770,10,Nacht,22:00,06:00
2022-02-27,Montage C,C,376,110,Spät,14:00,22:00
2022-02-27,Montage B,B,61,100,Früh,06:00,14:00
2022-02-27,Vorfertigung,Alle,900,10,Spät,14:00,22:00
2022-02-27,Montage A,A,333,120,Spät,14:00,22:00
2022-02-28,Montage B,B,731,100,Spät,14:00,22:00
2022-02-28,Montage A,A,130,120,Nacht,22:00,06:00
2022-02-28,Montage C,C,39,110,Nacht,22:00,06:00
2022-02-28,Vorfertigung,Alle,610,10,Früh,06:00,14:00
2022-03-01,Montage B,B,24,100,Früh,06:00,14:00
2022-03-01,Montage A,A,81,120,Nacht,22:00,06:00
2022-03-01,Montage C,C,505,110,Spät,14:00,22:00
2022-03-01,Vorfertigung,Alle,680,10,Früh,06:00,14:00
2022-03-02,Montage C,C,211,110,Nacht,22:00,06:00
2022-03-02,Vorfertigung,Alle,500,10,Nacht,22:00,06:00
2022-03-02,Montage B,B,58,100,Nacht,22:00,06:00
2022-03-02,Montage A,A,411,120,Spät,14:00,22:00
2022-03-03,Montage B,B,124,100,Nacht,22:00,06:00
2022-03-03,Montage C,C,116,110,Nacht,22:00,06:00
2022-03-03,Vorfertigung,Alle,480,10,Nacht,22:00,06:00
2022-03-03,Montage A,A,260,120,Nacht,22:00,06:00
2022-03-04,Montage B,B,18,100,Früh,06:00,14:00
2022-03-04,Montage C,C,412,110,Früh,06:00,14:00
2022-03-04,Montage A,A,50,120,Nacht,22:00,06:00
2022-03-04,Vorfertigung,Alle,890,10,Spät,14:00,22:00
2022-03-05,Montage B,B,240,100,Früh,06:00,14:00
2022-03-05,Vorfertigung,Alle,1000,10,Nacht,22:00,06:00
2022-03-05,Montage A,A,551,120,Früh,06:00,14:00
2022-03-05,Montage C,C,99,110,Früh,06:00,14:00
2022-03-06,Montage B,B,324,100,Spät,14:00,22:00
2022-03-06,Montage A,A,107,120,Nacht,22:00,06:00
2022-03-06,Montage C,C,569,110,Nacht,22:00,06:00
2022-03-06,Vorfertigung,Alle,720,10,Spät,14:00,22:00
2022-03-07,Montage C,C,157,110,Spät,14:00,22:00
2022-03-07,Montage B,B,231,100,Nacht,22:00,06:00
2022-03-07,Montage A,A,332,120,Nacht,22:00,06:00
2022-03-07,Vorfertigung,Alle,940,10,Spät,14:00,22:00
2022-03-08,Montage C,C,843,110,Früh,06:00,14:00
2022-03-08,Montage A,A,32,120,Früh,06:00,14:00
2022-03-08,Vorfertigung,Alle,810,10,Spät,14:00,22:00
2022-03-08,Montage B,B,65,100,Früh,06:00,14:00
2022-03-09,Montage B,B,7,100,Spät,14:00,22:00
2022-03-09,Montage C,C,83,110,Früh,06:00,14:00
2022-03-09,Montage A,A,720,120,Früh,06:00,14:00
2022-03-09,Vorfertigung,Alle,610,10,Nacht,22:00,06:00
2022-03-10,Vorfertigung,Alle,820,10,Nacht,22:00,06:00
2022-03-10,Montage C,C,84,110,Früh,06:00,14:00
2022-03-10,Montage B,B,2,100,Früh,06:00,14:00
2022-03-10,Montage A,A,524,120,Nacht,22:00,06:00
2022-03-11,Montage A,A,215,120,Nacht,22:00,06:00
2022-03-11,Vorfertigung,Alle,1060,10,Nacht,22:00,06:00
2022-03-11,Montage C,C,286,110,Spät,14:00,22:00
2022-03-11,Montage B,B,319,100,Früh,06:00,14:00
2022-03-12,Montage A,A,152,120,Nacht,22:00,06:00
2022-03-12,Montage B,B,746,100,Früh,06:00,14:00
2022-03-12,Montage C,C,162,110,Spät,14:00,22:00
2022-03-12,Vorfertigung,Alle,750,10,Spät,14:00,22:00
2022-03-13,Vorfertigung,Alle,1070,10,Nacht,22:00,06:00
2022-03-13,Montage B,B,366,100,Spät,14:00,22:00
2022-03-13,Montage C,C,279,110,Früh,06:00,14:00
2022-03-13,Montage A,A,105,120,Nacht,22:00,06:00
2022-03-14,Montage B,B,301,100,Früh,06:00,14:00
2022-03-14,Montage A,A,533,120,Früh,06:00,14:00
2022-03-14,Montage C,C,236,110,Spät,14:00,22:00
2022-03-14,Vorfertigung,Alle,240,10,Spät,14:00,22:00
2022-03-15,Vorfertigung,Alle,930,10,Spät,14:00,22:00
2022-03-15,Montage C,C,86,110,Spät,14:00,22:00
2022-03-15,Montage A,A,27,120,Spät,14:00,22:00
2022-03-15,Montage B,B,127,100,Nacht,22:00,06:00
2022-03-16,Montage B,B,765,100,Früh,06:00,14:00
2022-03-16,Montage C,C,106,110,Früh,06:00,14:00
2022-03-16,Vorfertigung,Alle,790,10,Früh,06:00,14:00
2022-03-16,Montage A,A,59,120,Früh,06:00,14:00
2022-03-17,Montage A,A,366,120,Spät,14:00,22:00
2022-03-17,Montage C,C,260,110,Früh,06:00,14:00
2022-03-17,Vorfertigung,Alle,710,10,Nacht,22:00,06:00
2022-03-17,Montage B,B,164,100,Nacht,22:00,06:00
2022-03-18,Montage C,C,215,110,Früh,06:00,14:00
2022-03-18,Montage B,B,273,100,Früh,06:00,14:00
2022-03-18,Montage A,A,222,120,Nacht,22:00,06:00
2022-03-18,Vorfertigung,Alle,790,10,Nacht,22:00,06:00
2022-03-19,Montage B,B,554,100,Spät,14:00,22:00
2022-03-19,Montage C,C,142,110,Nacht,22:00,06:00
2022-03-19,Montage A,A,94,120,Spät,14:00,22:00
2022-03-19,Vorfertigung,Alle,380,10,Spät,14:00,22:00
2022-03-20,Vorfertigung,Alle,740,10,Spät,14:00,22:00
2022-03-20,Montage A,A,7,120,Spät,14:00,22:00
2022-03-20,Montage B,B,314,100,Spät,14:00,22:00
2022-03-20,Montage C,C,59,110,Früh,06:00,14:00
2022-03-21,Montage C,C,218,110,Nacht,22:00,06:00
2022-03-21,Vorfertigung,Alle,860,10,Spät,14:00,22:00
2022-03-21,Montage B,B,272,100,Nacht,22:00,06:00
2022-03-21,Montage A,A,250,120,Nacht,22:00,06:00
2022-03-22,Montage B,B,4,100,Spät,14:00,22:00
2022-03-22,Montage A,A,128,120,Früh,06:00,14:00
2022-03-22,Montage C,C,728,110,Spät,14:00,22:00
2022-03-22,Vorfertigung,Alle,1090,10,Früh,06:00,14:00
2022-03-23,Montage B,B,510,100,Nacht,22:00,06:00
2022-03-23,Montage C,C,497,110,Früh,06:00,14:00
2022-03-23,Vorfertigung,Alle,690,10,Früh,06:00,14:00
2022-03-23,Montage A,A,83,120,Früh,06:00,14:00
2022-03-24,Montage B,B,87,100,Nacht,22:00,06:00
2022-03-24,Montage A,A,481,120,Nacht,22:00,06:00
2022-03-24,Vorfertigung,Alle,640,10,Früh,06:00,14:00
2022-03-24,Montage C,C,122,110,Früh,06:00,14:00
2022-03-25,Montage B,B,99,100,Spät,14:00,22:00
2022-03-25,Montage A,A,493,120,Früh,06:00,14:00
2022-03-25,Montage C,C,48,110,Spät,14:00,22:00
2022-03-25,Vorfertigung,Alle,700,10,Früh,06:00,14:00
2022-03-26,Montage A,A,120,120,Spät,14:00,22:00
2022-03-26,Montage C,C,175,110,Nacht,22:00,06:00
2022-03-26,Vorfertigung,Alle,990,10,Früh,06:00,14:00
2022-03-26,Montage B,B,405,100,Früh,06:00,14:00
2022-03-27,Vorfertigung,Alle,870,10,Früh,06:00,14:00
2022-03-27,Montage B,B,53,100,Früh,06:00,14:00
2022-03-27,Montage C,C,497,110,Spät,14:00,22:00
2022-03-27,Montage A,A,440,120,Früh,06:00,14:00
2022-03-28,Montage C,C,116,110,Nacht,22:00,06:00
2022-03-28,Montage B,B,24,100,Nacht,22:00,06:00
2022-03-28,Montage A,A,730,120,Früh,06:00,14:00
2022-03-28,Vorfertigung,Alle,710,10,Nacht,22:00,06:00
2022-03-29,Montage A,A,321,120,Früh,06:00,14:00
2022-03-29,Montage C,C,183,110,Früh,06:00,14:00
2022-03-29,Montage B,B,206,100,Nacht,22:00,06:00
2022-03-29,Vorfertigung,Alle,920,10,Früh,06:00,14:00
2022-03-30,Montage C,C,159,110,Nacht,22:00,06:00
2022-03-30,Montage B,B,204,100,Spät,14:00,22:00
2022-03-30,Montage A,A,557,120,Früh,06:00,14:00
2022-03-30,Vorfertigung,Alle,840,10,Spät,14:00,22:00
2022-03-31,Montage A,A,261,120,Nacht,22:00,06:00
2022-03-31,Montage C,C,318,110,Spät,14:00,22:00
2022-03-31,Vorfertigung,Alle,1020,10,Spät,14:00,22:00
2022-03-31,Montage B,B,261,100,Nacht,22:00,06:00
2022-04-01,Montage C,C,184,110,Spät,14:00,22:00
2022-04-01,Montage B,B,189,100,Spät,14:00,22:00
2022-04-01,Vorfertigung,Alle,690,10,Nacht,22:00,06:00
2022-04-01,Montage A,A,647,120,Spät,14:00,22:00
2022-04-02,Vorfertigung,Alle,760,10,Nacht,22:00,06:00
2022-04-02,Montage C,C,216,110,Spät,14:00,22:00
2022-04-02,Montage A,A,286,120,Nacht,22:00,06:00
2022-04-02,Montage B,B,188,100,Nacht,22:00,06:00
2022-04-03,Montage B,B,399,100,Spät,14:00,22:00
2022-04-03,Montage C,C,74,110,Spät,14:00,22:00
2022-04-03,Vorfertigung,Alle,750,10,Spät,14:00,22:00
2022-04-03,Montage A,A,287,120,Früh,06:00,14:00
2022-04-04,Montage C,C,452,110,Früh,06:00,14:00
2022-04-04,Montage B,B,52,100,Früh,06:00,14:00
2022-04-04,Montage A,A,246,120,Nacht,22:00,06:00
2022-04-04,Vorfertigung,Alle,540,10,Spät,14:00,22:00
2022-04-05,Montage B,B,234,100,Nacht,22:00,06:00
2022-04-05,Vorfertigung,Alle,900,10,Früh,06:00,14:00
2022-04-05,Montage A,A,14,120,Spät,14:00,22:00
2022-04-05,Montage C,C,292,110,Nacht,22:00,06:00
2022-04-06,Montage A,A,241,120,Spät,14:00,22:00
2022-04-06,Vorfertigung,Alle,900,10,Nacht,22:00,06:00
2022-04-06,Montage C,C,22,110,Spät,14:00,22:00
2022-04-06,Montage B,B,637,100,Früh,06:00,14:00
2022-04-07,Montage A,A,15,120,Früh,06:00,14:00
2022-04-07,Vorfertigung,Alle,850,10,Spät,14:00,22:00
2022-04-07,Montage C,C,182,110,Nacht,22:00,06:00
2022-04-07,Montage B,B,703,100,Früh,06:00,14:00
2022-04-08,Montage C,C,533,110,Früh,06:00,14:00
2022-04-08,Vorfertigung,Alle,800,10,Früh,06:00,14:00
2022-04-08,Montage B,B,268,100,Spät,14:00,22:00
2022-04-08,Montage A,A,49,120,Spät,14:00,22:00
2022-04-09,Vorfertigung,Alle,570,10,Nacht,22:00,06:00
2022-04-09,Montage C,C,55,110,Nacht,22:00,06:00
2022-04-09,Montage B,B,597,100,Nacht,22:00,06:00
2022-04-09,Montage A,A,148,120,Spät,14:00,22:00
2022-04-10,Vorfertigung,Alle,770,10,Spät,14:00,22:00
2022-04-10,Montage B,B,272,100,Nacht,22:00,06:00
2022-04-10,Montage C,C,279,110,Nacht,22:00,06:00
2022-04-10,Montage A,A,19,120,Spät,14:00,22:00
2022-04-11,Vorfertigung,Alle,790,10,Nacht,22:00,06:00
2022-04-11,Montage B,B,165,100,Früh,06:00,14:00
2022-04-11,Montage A,A,130,120,Spät,14:00,22:00
2022-04-11,Montage C,C,475,110,Nacht,22:00,06:00
2022-04-12,Montage C,C,464,110,Spät,14:00,22:00
2022-04-12,Montage B,B,114,100,Früh,06:00,14:00
2022-04-12,Vorfertigung,Alle,700,10,Spät,14:00,22:00
2022-04-12,Montage A,A,212,120,Spät,14:00,22:00
2022-04-13,Vorfertigung,Alle,840,10,Spät,14:00,22:00
2022-04-13,Montage A,A,226,120,Spät,14:00,22:00
2022-04-13,Montage B,B,415,100,Früh,06:00,14:00
2022-04-13,Montage C,C,59,110,Spät,14:00,22:00
2022-04-14,Vorfertigung,Alle,950,10,Spät,14:00,22:00
2022-04-14,Montage B,B,539,100,Nacht,22:00,06:00
2022-04-14,Montage C,C,297,110,Spät,14:00,22:00
2022-04-14,Montage A,A,4,120,Nacht,22:00,06:00
2022-04-15,Vorfertigung,Alle,1250,10,Früh,06:00,14:00
2022-04-15,Montage C,C,95,110,Früh,06:00,14:00
2022-04-15,Montage A,A,593,120,Früh,06:00,14:00
2022-04-15,Montage B,B,262,100,Früh,06:00,14:00
2022-04-16,Vorfertigung,Alle,910,10,Nacht,22:00,06:00
2022-04-16,Montage B,B,287,100,Spät,14:00,22:00
2022-04-16,Montage C,C,794,110,Früh,06:00,14:00
2022-04-16,Montage A,A,169,120,Spät,14:00,22:00
2022-04-17,Montage B,B,369,100,Nacht,22:00,06:00
2022-04-17,Montage C,C,112,110,Nacht,22:00,06:00
2022-04-17,Montage A,A,429,120,Nacht,22:00,06:00
2022-04-17,Vorfertigung,Alle,930,10,Früh,06:00,14:00
2022-04-18,Montage A,A,550,120,Spät,14:00,22:00
2022-04-18,Montage C,C,143,110,Spät,14:00,22:00
2022-04-18,Montage B,B,237,100,Spät,14:00,22:00
2022-04-18,Vorfertigung,Alle,870,10,Nacht,22:00,06:00
2022-04-19,Vorfertigung,Alle,510,10,Früh,06:00,14:00
2022-04-19,Montage C,C,140,110,Nacht,22:00,06:00
2022-04-19,Montage B,B,267,100,Nacht,22:00,06:00
